День,CIP ($),Сумма CIB ($),Разница CIP-CIB ($),Активных инвесторов,Новые депозиты ($),Общая сумма депозитов ($),Выплаченные проценты ($),Выводы средств ($),Комиссии ($),Прибыль компании ($),Средний уровень входа,Среднее кол-во рефералов
1,3651.9,3748.1,-96.2,1,3700.0,3700,48.1,0.0,0.0,0.0,6.0,0.0
2,7181.49,7521.69,-340.2,2,3700.0,7400,96.83,96.83,19.37,3.87,6.0,0.0
3,13117.43,14818.92,-1701.49,4,6200.0,13600,190.47,96.83,19.37,3.87,5.75,0.5
4,16454.07,18989.41,-2535.35,6,3800.0,17400,244.58,287.87,57.57,11.51,5.33,0.5
5,21078.4,25129.35,-4050.94,9,5100.0,22500,323.11,200.73,40.15,8.03,5.0,0.67
6,29878.4,34859.35,-4980.94,13,8800.0,31300,0.0,0.0,0.0,0.0,4.92,0.62
7,36278.4,41634.35,-5355.94,17,6400.0,37700,0.0,0.0,0.0,0.0,4.76,0.53
8,47695.56,56625.45,-8929.89,22,12500.0,50200,728.12,466.74,93.35,18.67,4.82,0.64
9,58492.35,71478.74,-12986.39,27,12500.0,62700,920.47,1029.92,205.98,41.2,4.85,0.67
10,70511.81,87136.34,-16624.53,33,13800.0,76500,1120.91,867.94,173.59,34.72,4.85,0.64
11,77119.35,98001.69,-20882.34,39,9000.0,85500,1262.25,1487.11,297.42,59.48,4.74,0.64
12,88551.79,114507.35,-25955.56,45,13800.0,99300,1473.12,1176.9,235.38,47.08,4.76,0.67
13,107251.79,134527.35,-27275.56,52,18700.0,118000,0.0,0.0,0.0,0.0,4.81,0.65
14,123551.79,152897.35,-29345.56,59,16300.0,134300,0.0,0.0,0.0,0.0,4.81,0.68
15,138619.58,174783.01,-36163.43,67,18800.0,153100,2249.03,1951.55,390.31,78.06,4.82,0.64
16,148081.45,191555.52,-43474.07,75,14000.0,167100,2466.66,2725.62,545.12,109.02,4.77,0.63
17,161063.7,213380.35,-52316.65,83,17600.0,184700,2745.93,2462.92,492.58,98.52,4.77,0.64
18,173105.59,234717.05,-61611.46,91,17600.0,202300,3022.44,3336.4,667.28,133.46,4.77,0.64
19,192256.24,264912.19,-72655.94,100,24900.0,227200,3409.15,3079.22,615.84,123.17,4.81,0.65
20,219556.24,295362.19,-75805.94,109,27300.0,254500,0.0,0.0,0.0,0.0,4.86,0.65
21,240856.24,318732.19,-77875.94,118,21300.0,275800,0.0,0.0,0.0,0.0,4.86,0.65
22,252176.17,342539.42,-90363.25,127,18900.0,294700,4408.72,4172.83,834.57,166.91,4.85,0.64
23,263670.65,369191.51,-105520.86,136,20100.0,314800,4753.51,5068.44,1013.69,202.74,4.85,0.66
24,273796.35,394348.22,-120551.86,146,19000.0,333800,5076.13,4997.59,999.52,199.9,4.82,0.67
25,292405.13,430826.62,-138421.49,156,28600.0,362400,5546.88,5847.81,1169.56,233.91,4.85,0.69
26,306909.54,462979.16,-156069.62,166,25000.0,387400,5959.87,5968.05,1193.61,238.72,4.86,0.69
27,330709.54,488669.16,-157959.62,176,23800.0,411200,0.0,0.0,0.0,0.0,4.86,0.68
28,355709.54,516294.16,-160584.62,186,25000.0,436200,0.0,0.0,0.0,0.0,4.87,0.68
29,364931.05,545151.13,-180220.08,196,21400.0,457600,7016.93,6791.53,1358.31,271.66,4.86,0.68
30,378662.28,580515.14,-201852.85,206,27400.0,485000,7474.95,8149.76,1629.95,325.99,4.88,0.68
31,393371.11,618946.41,-225575.31,216,28600.0,513600,7967.05,7794.9,1558.98,311.8,4.9,0.69
32,401757.82,651344.97,-249587.15,226,23800.0,537400,8387.29,9244.73,1848.95,369.79,4.9,0.69
33,412490.85,687103.23,-274612.38,236,26200.0,563600,8844.55,8713.71,1742.74,348.55,4.91,0.69
34,430290.85,706238.23,-275947.38,246,17800.0,581400,0.0,0.0,0.0,0.0,4.89,0.68
35,450490.85,728703.23,-278212.38,256,20200.0,601600,0.0,0.0,0.0,0.0,4.88,0.68
36,461394.06,767903.04,-306508.97,266,28600.0,630200,9886.28,10276.98,2055.4,411.08,4.89,0.68
37,464151.99,799517.07,-335365.08,275,21300.0,651500,10293.76,10853.04,2170.61,434.12,4.89,0.69
38,465053.26,830640.65,-365587.4,284,20100.0,671600,10694.22,11190.16,2238.03,447.61,4.89,0.7
39,469837.92,865912.84,-396074.92,293,24900.0,696500,11148.74,11798.15,2359.63,471.93,4.9,0.69
40,472674.63,901277.55,-428602.92,302,23700.0,720200,11603.77,12183.58,2436.72,487.34,4.9,0.7
41,495174.63,926582.55,-431407.92,311,22500.0,742700,0.0,0.0,0.0,0.0,4.91,0.7
42,519974.63,953992.55,-434017.92,319,24800.0,767500,0.0,0.0,0.0,0.0,4.92,0.7
43,512837.73,980258.0,-467420.27,327,15200.0,782700,12619.2,12786.45,2557.29,511.46,4.91,0.7
44,506626.22,1008932.86,-502306.64,335,17600.0,800300,12991.65,14236.66,2847.33,569.47,4.91,0.69
45,499288.4,1036733.13,-537444.73,343,16400.0,816700,13346.68,13672.55,2734.51,546.9,4.9,0.69
46,491615.08,1066605.08,-574990.0,350,17500.0,834200,13734.28,15051.36,3010.27,602.05,4.9,0.69
47,480418.11,1093182.71,-612764.6,357,13900.0,848100,14073.67,14504.34,2900.87,580.17,4.9,0.7
48,495418.11,1109862.71,-614444.6,363,15000.0,863100,0.0,0.0,0.0,0.0,4.9,0.7
49,510418.11,1125807.71,-615389.6,369,15000.0,878100,0.0,0.0,0.0,0.0,4.9,0.7
50,503281.28,1158772.16,-655490.88,375,19800.0,897900,14919.42,15812.38,3162.48,632.5,4.91,0.7
51,488209.27,1184308.87,-696099.6,380,12500.0,910400,15248.38,16215.31,3243.06,648.61,4.91,0.7
52,470160.34,1207094.65,-736934.31,385,10100.0,920500,15541.94,16588.15,3317.63,663.53,4.91,0.7
53,449130.07,1227590.69,-778460.62,389,7600.0,928100,15805.85,16874.24,3374.85,674.97,4.9,0.7
54,431157.6,1251531.0,-820373.4,393,11200.0,939300,16114.03,17182.16,3436.43,687.29,4.91,0.7
55,437457.6,1258401.0,-820943.4,396,6300.0,945600,0.0,0.0,0.0,0.0,4.91,0.7
56,442457.6,1263956.0,-821498.4,398,5000.0,950600,0.0,0.0,0.0,0.0,4.91,0.7
57,417619.47,1281620.67,-864001.2,400,5000.0,955600,16501.3,17548.46,3509.69,701.94,4.91,0.69
58,389757.88,1296498.02,-906740.14,401,2500.0,958100,16693.57,17984.23,3596.85,719.37,4.91,0.69
59,361685.89,1311944.82,-950258.94,402,2500.0,960600,16891.85,18000.2,3600.04,720.01,4.91,0.69
60,331921.24,1325898.34,-993977.1,403,1300.0,961900,17072.18,18411.13,3682.23,736.45,4.91,0.69
